Id	Description	Qty	Unit	Designators
1	Cable, 30 x AWG 40 shielded	20.0	cm	W1
2	Connector, IPEX 20453-030T or compatible, male, 30 pins	1		IPEX 20453-030T
3	Connector, IPEX 20633-030T or compatible, male, 30 pins	1		IPEX 20633-030T
