Id	Description	Qty	Unit	Designators
1	Cable, 30 x AWG 38	0.02	m	W1
2	Connector, IPEX 20453-040T or compatible, male, 40 pins	1		X1
3	Connector, IPEX 20633-030T or compatible, male, 30 pins	1		X2
